periodico_id,titulo_principal,titulo_abreviado,titulo_norm,issn_impresso,issn_eletronico,issn_l,issn_impresso_norm,issn_eletronico_norm,issn_l_norm,publisher_nome,publisher_norm,pais,area_tematica,plataforma_editorial,url_principal_atual,dominio_url_principal,fonte_url_principal,ativo_editorial_recente,ano_ultimo_registro_editorial,tem_doaj,tem_latindex,tem_titledb,observacao_match
PER_33DB4DB3BCE216A9,"Padê: Estudos em filosofia, raça, gênero e direitos humanos (encerrada)",,"pade: estudos em filosofia, raca, genero e direitos humanos (encerrada)",,1980-8887,,,1980-8887,,Centro Universitário de Brasília-UNICEUB,centro universitario de brasilia-uniceub,Brasil,,OJS3,https://www.publicacoesacademicas.uniceub.br/,www.publicacoesacademicas.uniceub.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=5; anos=2006-2010
PER_E247DED6C099FBC3,"Prismas: Direito, Políticas Públicas e Mundialização (substituída pela Revista de Direito Internacional)",,"prismas: direito, politicas publicas e mundializacao (substituida pela revista de direito internacional)",1809-9602,1980-3672,,1809-9602,1980-3672,,Centro Universitário de Brasília-UNICEUB,centro universitario de brasilia-uniceub,Brasil,,OJS3,https://www.publicacoesacademicas.uniceub.br/,www.publicacoesacademicas.uniceub.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=8; anos=2004-2011
PER_5CB3BAE6F261988A,Revista de Direito Internacional (Brazilian Journal of International Law),,revista de direito internacional (brazilian journal of international law),2236-997X,2237-1036,,2236-997X,2237-1036,,Centro Universitário de Brasília-UNICEUB,centro universitario de brasilia-uniceub,Brasil,,OJS3,https://www.publicacoesacademicas.uniceub.br/,www.publicacoesacademicas.uniceub.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=10; anos=2011-2020
PER_2FC576629EC51BC6,Universitas Humanas,,universitas humanas,1984-9419,2175-7488,,1984-9419,2175-7488,,Centro Universitário de Brasília-UNICEUB,centro universitario de brasilia-uniceub,Brasil,,OJS3,https://www.publicacoesacademicas.uniceub.br/,www.publicacoesacademicas.uniceub.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=8; anos=2008-2015
PER_884647EBFA6124E6,Universitas Jus (UniCEUB Law Journal),,universitas jus (uniceub law journal),1519-9045,1982-8268,,1519-9045,1982-8268,,Centro Universitário de Brasília-UNICEUB,centro universitario de brasilia-uniceub,Brasil,,OJS3,https://www.publicacoesacademicas.uniceub.br/,www.publicacoesacademicas.uniceub.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=10; anos=2007-2016
PER_02AA9FF2DA911497,Universitas: Arquitetura e Comunicação Social,,universitas: arquitetura e comunicacao social,2175-7461,2179-488X,,2175-7461,2179-488X,,Centro Universitário de Brasília-UNICEUB,centro universitario de brasilia-uniceub,Brasil,,OJS3,https://www.publicacoesacademicas.uniceub.br/,www.publicacoesacademicas.uniceub.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=9; anos=2008-2016
PER_9D146F434855B6EF,Universitas: Ciências da Saúde,,universitas: ciencias da saude,1678-5398,1981-9730,,1678-5398,1981-9730,,Centro Universitário de Brasília-UNICEUB,centro universitario de brasilia-uniceub,Brasil,,OJS3,https://www.publicacoesacademicas.uniceub.br/,www.publicacoesacademicas.uniceub.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=15; anos=2003-2017
PER_B433F4E002BA91B3,Revista Brasileira de Políticas Públicas (Brazilian Journal of Law and Public Policy),,revista brasileira de politicas publicas (brazilian journal of law and public policy),2179-8338,2236-1677,,2179-8338,2236-1677,,Centro Universitário de Brasília-UNICEUB,centro universitario de brasilia-uniceub,Brasil,,OJS3,https://www.publicacoesacademicas.uniceub.br/,www.publicacoesacademicas.uniceub.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=12; anos=2011-2022
PER_C41A27DB2E2BBA88,Universitas: Gestão e TI,,universitas: gestao e ti,2179-8311,2179-832X,,2179-8311,2179-832X,,Centro Universitário de Brasília-UNICEUB,centro universitario de brasilia-uniceub,Brasil,,OJS3,https://www.publicacoesacademicas.uniceub.br/,www.publicacoesacademicas.uniceub.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=7; anos=2011-2017
PER_4E6C8182F46326BE,Evidência: Olhares e Pesquisa em Saberes Educacionais,,evidencia: olhares e pesquisa em saberes educacionais,1808-2327,,,1808-2327,,,Centro Universitário do Planalto de Araxá,centro universitario do planalto de araxa,Brasil,,OJS3,http://uniaraxa.edu.br/ojs/,uniaraxa.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=15; anos=2005-2019
PER_F1E08D8F3706AC75,CIPPUS – REVISTA DE INICIAÇÃO CIENTÍFICA,,cippus – revista de iniciacao cientifica,,2238-9032,,,2238-9032,,Centro Universitário Lasalle Canoas-RS,centro universitario lasalle canoas-rs,Brasil,,OJS3,https://www.revistas.unilasalle.edu.br/,www.revistas.unilasalle.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=9; anos=2012-2020
