url_check_id,periodico_id,source_system,url_original,url_original_domain,check_date,http_status,redirect_count,final_url,final_domain,domain_changed,https_valid,timeout,ojs_detected,ojs_version_hint,is_accessible,problem_type,notes,created_at
URL_68F4C0D3C280C706,PER_6DA95905A7170003,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_EC624923F5FB80D3,PER_A300395F5636CEC1,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_3B15406B5CE1C43F,PER_2923854355F92391,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_CD577B104E644301,PER_9C4B50BF04368B0C,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_19542DE99C563896,PER_A78A5B4178184EED,periodicos,http://www.periodicos.ia.unesp.br/,www.periodicos.ia.unesp.br,,,0,,,,,False,,,False,connection_error,"HTTPConnectionPool(host='www.periodicos.ia.unesp.br', port=80): Max retries exceeded with url: / (Caused by NewConnectionError(""HTTPConnection(host='www.periodicos.ia.unesp.br', port=80): Failed to establish a new connection: [Errno 65] No route to host""))",
URL_B16B3650AD051BC3,PER_0CC37066C6EAEAA7,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_B3BAB10648C7CFC0,PER_90283E40C80401D8,periodicos,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,,200,0,https://revistas.marilia.unesp.br/,revistas.marilia.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_612E8C6C4E0E66F7,PER_62AD76615575501C,periodicos,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,,200,0,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,False,True,False,True,3.2.1,True,ok,,
URL_3D65B4E00FEBE4B3,PER_DDBB565031AC1CD7,periodicos,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,,200,0,https://ojs.franca.unesp.br/,ojs.franca.unesp.br,False,True,False,True,3.2.1,True,ok,,
URL_D2252FB2F7DD1A7E,PER_B1E3A0A8E8479DE8,periodicos,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,,200,0,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,False,True,False,True,3.3.0,True,ok,,
URL_61AD845550E2A910,PER_0488F9E823C783A7,periodicos,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,,200,0,https://periodicos.fclar.unesp.br/,periodicos.fclar.unesp.br,False,True,False,True,3.3.0,True,ok,,
